v3	-I(V2)
0.000000000000000e+000	1.670400e-004
1.000000000000000e-001	1.660032e-004
2.000000000000000e-001	1.649664e-004
3.000000000000000e-001	1.639296e-004
4.000000000000000e-001	1.628928e-004
5.000000000000000e-001	1.618560e-004
6.000000000000000e-001	1.608192e-004
7.000000000000000e-001	1.597824e-004
7.999999999999999e-001	1.587456e-004
8.999999999999999e-001	1.577088e-004
1.000000000000000e+000	1.566720e-004
1.000000000000000e+000	1.566720e-004
1.500000000000000e+000	1.514880e-004
2.000000000000000e+000	1.463040e-004
2.500000000000000e+000	1.411200e-004
3.000000000000000e+000	1.359360e-004
3.500000000000000e+000	1.307520e-004
4.000000000000000e+000	1.255680e-004
4.500000000000000e+000	1.170400e-004
5.000000000000000e+000	8.760414e-012

