v3	-I(V2)
0.000000000000000e+000	1.187840e-003
1.000000000000000e-001	1.180467e-003
2.000000000000000e-001	1.173094e-003
3.000000000000000e-001	1.165722e-003
4.000000000000000e-001	1.158349e-003
5.000000000000000e-001	1.150976e-003
6.000000000000000e-001	1.143603e-003
7.000000000000000e-001	1.136230e-003
7.999999999999999e-001	1.128858e-003
8.999999999999999e-001	1.121485e-003
1.000000000000000e+000	1.114112e-003
1.000000000000000e+000	1.114112e-003
1.500000000000000e+000	1.077248e-003
2.000000000000000e+000	1.040384e-003
2.500000000000000e+000	1.003520e-003
3.000000000000000e+000	9.666560e-004
3.500000000000000e+000	9.261600e-004
4.000000000000000e+000	7.673600e-004
4.500000000000000e+000	4.514400e-004
5.000000000000000e+000	8.760414e-012
