v3	-I(V2)
0.000000000000000e+000	3.136640e-003
1.000000000000000e-001	3.117171e-003
2.000000000000000e-001	3.097703e-003
3.000000000000000e-001	3.078234e-003
4.000000000000000e-001	3.058765e-003
5.000000000000000e-001	3.039296e-003
6.000000000000000e-001	3.019827e-003
7.000000000000000e-001	3.000358e-003
7.999999999999999e-001	2.980890e-003
8.999999999999999e-001	2.961421e-003
1.000000000000000e+000	2.941952e-003
1.000000000000000e+000	2.941952e-003
1.500000000000000e+000	2.844608e-003
2.000000000000000e+000	2.747264e-003
2.500000000000000e+000	2.646000e-003
3.000000000000000e+000	2.416640e-003
3.500000000000000e+000	2.015760e-003
4.000000000000000e+000	1.464960e-003
4.500000000000000e+000	7.858400e-004
5.000000000000000e+000	8.760413e-012
