v2	-I(V2)
0.000000000000000e+000	4.851912e-032
1.000000000000000e-001	1.564023e-005
2.000000000000000e-001	2.262527e-005
3.000000000000000e-001	2.305129e-005
4.000000000000000e-001	2.308571e-005
5.000000000000000e-001	2.312013e-005
6.000000000000000e-001	2.315455e-005
7.000000000000000e-001	2.318898e-005
7.999999999999999e-001	2.322340e-005
8.999999999999999e-001	2.325782e-005
1.000000000000000e+000	2.329224e-005
1.000000000000000e+000	2.329224e-005
1.500000000000000e+000	2.346436e-005
2.000000000000000e+000	2.363647e-005
2.500000000000000e+000	2.380858e-005
3.000000000000000e+000	2.398069e-005
3.500000000000000e+000	2.415280e-005
4.000000000000000e+000	2.432492e-005
4.500000000000000e+000	2.449703e-005
5.000000000000000e+000	2.466914e-005
