v2	-I(V2)
0.000000000000000e+000	1.234231e-033
1.000000000000000e-001	2.763106e-004
2.000000000000000e-001	5.447469e-004
3.000000000000000e-001	8.052699e-004
4.000000000000000e-001	1.057840e-003
5.000000000000000e-001	1.302419e-003
6.000000000000000e-001	1.538968e-003
7.000000000000000e-001	1.767447e-003
7.999999999999999e-001	1.987817e-003
8.999999999999999e-001	2.200040e-003
1.000000000000000e+000	2.404076e-003
1.000000000000000e+000	2.404076e-003
1.500000000000000e+000	3.300090e-003
2.000000000000000e+000	3.985581e-003
2.500000000000000e+000	4.455668e-003
3.000000000000000e+000	4.705472e-003
3.500000000000000e+000	4.763396e-003
4.000000000000000e+000	4.797339e-003
4.500000000000000e+000	4.831283e-003
5.000000000000000e+000	4.865226e-003
